city,state,country,country_code,latitude,longitude,timezone,population,elevation_m
Spring Lake,NJ,USA,US,40.15345,-74.02819,America/New_York,2965,6
Franklin,ME,USA,US,44.58702,-68.23224,America/New_York,1424,17
Springdale,AR,USA,US,36.18674,-94.12881,America/Chicago,77859,403
Marstons Mills,MA,USA,US,41.65622,-70.41614,America/New_York,8017,13
Grayling,MI,USA,US,44.6614,-84.71475,America/Detroit,1844,347
Pleasant Grove,UT,USA,US,40.36412,-111.73854,America/Denver,38052,1409
Mission,BC,Canada,CA,49.13298,-122.30258,America/Vancouver,33261,194
Hermiston,OR,USA,US,45.84041,-119.28946,America/Los_Angeles,17201,140
Chicago,IL,USA,US,41.85003,-87.65005,America/Chicago,2696555,179
Soap Lake,WA,USA,US,47.38931,-119.49059,America/Los_Angeles,1580,337
Atoka,TN,USA,US,35.44119,-89.77814,America/Chicago,9064,132
Canton,MI,USA,US,42.30865,-83.48216,America/Detroit,86825,207
Columbus,OH,USA,US,39.96118,-82.99879,America/New_York,905748,235
Gujranwala,Punjab,Pakistan,PK,32.15567,74.18705,Asia/Karachi,1384471,194
Fort Collins,CO,USA,US,40.58526,-105.08442,America/Denver,161175,1525
Pinellas Park,FL,USA,US,27.8428,-82.69954,America/New_York,51617,4
Eau Claire,WI,USA,US,44.81135,-91.49849,America/Chicago,67778,240
Gray,GA,USA,US,33.00958,-83.53378,America/New_York,3269,184
Elk Grove,CA,USA,US,38.4088,-121.37162,America/Los_Angeles,166913,14
Mckee,KY,USA,US,37.43036,-83.99798,America/New_York,789,314
Roanoke,VA,USA,US,37.27097,-79.94143,America/New_York,99897,285
Fallbrook,CA,USA,US,33.37642,-117.25115,America/Los_Angeles,30534,208
Merrimack,NH,USA,US,42.86509,-71.4934,America/New_York,26726,47
Memphis,TN,USA,US,35.14953,-90.04898,America/Chicago,633104,78
San Fernando,CA,USA,US,34.28195,-118.43897,America/Los_Angeles,24931,326
Monson,ME,USA,US,45.28699,-69.50116,America/New_York,692,262
Thorndale,PA,USA,US,39.99288,-75.74522,America/New_York,3407,105
Sebastopol,CA,USA,US,38.40214,-122.82388,America/Los_Angeles,7678,25
San Pablo,CA,USA,US,37.96215,-122.34553,America/Los_Angeles,30407,16
Ashtabula,OH,USA,US,41.86505,-80.78981,America/New_York,18371,205
Santa Ana,CA,USA,US,33.74557,-117.86783,America/Los_Angeles,335400,35
Kingfield,ME,USA,US,44.95922,-70.15395,America/New_York,1147,171
Reynoldsburg,OH,USA,US,39.95479,-82.81212,America/New_York,37158,268
Puyallup,WA,USA,US,47.18538,-122.2929,America/Los_Angeles,39659,14
Buckingham,VA,USA,US,37.55015,-78.55556,America/New_York,0,137
Carson City,NV,USA,US,39.1638,-119.7674,America/Los_Angeles,54521,1427
Keswick,ON,Canada,CA,44.25011,-79.46632,America/Toronto,21000,194
Marana,AZ,USA,US,32.43674,-111.22538,America/Phoenix,41315,607
Roswell,NM,USA,US,33.39437,-104.52491,America/Denver,48544,1090
Saskatoon,SK,Canada,CA,52.13238,-106.66892,America/Regina,198958,194
Detroit,MI,USA,US,42.33143,-83.04575,America/Detroit,677116,183
Rolling Prairie,IN,USA,US,41.67088,-86.61585,America/Chicago,582,252
Goleta,CA,USA,US,34.43583,-119.82764,America/Los_Angeles,30944,6
Oak Lawn,IL,USA,US,41.71087,-87.75811,America/Chicago,56781,182
Shepherdsville,KY,USA,US,37.9884,-85.71579,America/New_York,11967,137
Pembroke Pines,FL,USA,US,26.00315,-80.22394,America/New_York,166611,2
Marlton,NJ,USA,US,39.89122,-74.92183,America/New_York,10133,31
Kennewick,WA,USA,US,46.21125,-119.13723,America/Los_Angeles,78896,124
Austin,TX,USA,US,30.26715,-97.74306,America/Chicago,931830,149
Charleston,MO,USA,US,36.92089,-89.35063,America/Chicago,5815,98
Ritzville,WA,USA,US,47.12755,-118.37999,America/Los_Angeles,1665,554
Nevada,MO,USA,US,37.83921,-94.35467,America/Chicago,8253,266
